permit_number,lease_name,operator_name,operator_number,county_code,county_name,district,issue_date,received_date,amended_date,extended_date,spud_date,well_number,well_status,total_depth,application_type,app_type_desc,horizontal_flag,directional_flag,sidetrack_flag,surface_section,surface_block,surface_survey,surface_abstract,gis_surface_lat,gis_surface_lon,gis_bottomhole_lat,gis_bottomhole_lon,field_count,field_numbers,lease_count,survey_count,restriction_count,remark_count,address
0911554,G-B MINERALS,"EOG RESOURCES, INC.",253162,479,Webb,04,11/07/2025,11/03/2025,,,,108H,,14650,01,Drill,Y,N,N,402,,"GC&SF RR CO/WALKER, S W",2089,27.7843694,-99.39285,27.7681556,-99.3615361,1,39744250,0,1,2,16,
0911559,G-B MINERALS,"EOG RESOURCES, INC.",253162,479,Webb,04,11/07/2025,11/03/2025,,,,305H,,15000,01,Drill,Y,N,N,402,,"GC&SF RR CO/WALKER, S W",2089,27.7843695,-99.3930361,27.7670306,-99.3687667,1,39744500,0,1,3,16,
0911561,G-B MINERALS,"EOG RESOURCES, INC.",253162,479,Webb,04,11/07/2025,11/03/2025,,,,306H,,15000,01,Drill,Y,N,N,402,,"GC&SF RR CO/WALKER, S W",2089,27.7843694,-99.3929111,27.7670806,-99.3633889,1,39744500,0,1,3,16,
0911588,HACHAR 'A',"EOG RESOURCES, INC.",253162,479,Webb,04,11/07/2025,11/04/2025,,,,107H,,14700,01,Drill,Y,N,N,2,,"SANCHEZ, S",278,27.7014861,-99.4441278,27.6923611,-99.4110806,1,39744250,0,1,2,16,
0911589,HACHAR 'A',"EOG RESOURCES, INC.",253162,479,Webb,04,11/07/2025,11/04/2025,,,,108H,,14600,01,Drill,Y,N,N,2,,"SANCHEZ, S",278,27.7014417,-99.4442417,27.6909,-99.414925,1,39744250,0,1,2,16,
0911590,HACHAR 'A',"EOG RESOURCES, INC.",253162,479,Webb,04,11/07/2025,11/04/2025,,,,300H,,14900,01,Drill,Y,N,N,2,,"SANCHEZ, S",278,27.7015083,-99.4440722,27.6930917,-99.4091611,1,39744500,0,1,3,16,
0906587,MATRIX CASPIAN B,"ESCONDIDO RESOURCES OPER CO, LLC",254231,479,Webb,04,04/25/2025,10/27/2025,11/03/2025,,,107H,,12000,01,Drill,Y,N,N,389,,BS&F,408,27.904352,-99.4493053,27.9305869,-99.4586179,1,39744250,1,1,2,24,
0911180,MATRIX CASPIAN BB,"ESCONDIDO RESOURCES OPER CO, LLC",254231,479,Webb,04,11/07/2025,10/15/2025,,,,64H,,12000,01,Drill,Y,N,N,389,,BS&F,408,27.9047142,-99.4391776,27.9323177,-99.4574661,1,39744500,0,1,2,21,
0911623,BRASK,"LEWIS PETRO PROPERTIES, INC.",499978,479,Webb,04,11/07/2025,11/05/2025,,,,100H,,9000,01,Drill,Y,N,N,045,,LI&A ASSOC,372,27.9692139,-99.9014639,27.9683191,-99.9308377,1,39744500,1,1,2,16,
0911624,BRASK,"LEWIS PETRO PROPERTIES, INC.",499978,479,Webb,04,11/07/2025,11/05/2025,,,,1000H,,9000,01,Drill,Y,N,N,045,,LI&A ASSOC,372,27.9692556,-99.9014556,27.966943,-99.9309162,1,39744250,1,1,2,16,
0910830,SHIELD MAIDEN 3UA,"BLACKBEARD OPERATING, LLC",073056,495,Winkler,10,11/07/2025,10/01/2025,,,,340H,,7999,01,Drill,Y,N,N,7      A,,G&MMB&A,42,31.6896306,-102.9152194,31.6689972,-102.9046056,1,62417110,0,1,2,16,
0911618,MASKED RIDER 361 A,"RING ENERGY, INC.",712382,501,Yoakum,11,11/07/2025,11/05/2025,,,,5XH,,6500,01,Drill,Y,N,N,61     D,,"GIBSON, J H",316,33.216929,-102.994875,33.2407255,-102.9949061,1,71823666,0,1,2,16,
